Index,Layer,Text,X,Y,Z
336,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x800),-63.746884,-2.120998,0.000000
337,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x800),-94.998936,-25.004981,0.000000
338,CMW-SS-BEAM-SIZE,\C1;B1XX(800x700),-80.335106,-16.291162,0.000000
339,CMW-SS-BEAM-SIZE,\C1;B1XX(800x700),-92.841966,-17.593950,0.000000
340,CMW-SS-BEAM-SIZE,\C1;B1XX(800x700),-89.406537,-39.676275,0.000000
341,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x800),-65.102440,-22.050925,0.000000
342,CMW-SS-BEAM-SIZE,\C1;B1XX(300x600),-46.404493,-56.008272,0.000000
343,CMW-SS-BEAM-SIZE,\C1;B1XX(300x600),-47.452408,-60.468348,0.000000
344,CMW-SS-BEAM-SIZE,\C1;B1XX(300x600),-36.367386,-48.878025,0.000000
345,CMW-SS-BEAM-SIZE,\C1;B1XX(300x600),-36.016289,-52.389764,0.000000
346,CMW-SS-BEAM-SIZE,\C1;B1XX(500x800),-30.478465,-46.100030,0.000000
347,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x800),-49.184993,-33.368620,0.000000
348,CMW-SS-BEAM-SIZE,\C1;B1XX(300x600),-42.691775,-50.828036,0.000000
349,CMW-SS-BEAM-SIZE,\C1;B1XX(500x800),-194.568572,-68.735525,0.000000
350,CMW-SS-BEAM-SIZE,\C1;B1XX(1300x800),-142.211320,-28.824567,0.000000
351,CMW-SS-BEAM-SIZE,\C1;B1XX(350x650),-198.585345,-8.217174,0.000000
352,CMW-SS-BEAM-SIZE,\C1;B1XX(300x600),-197.080032,-17.777005,0.000000
353,CMW-SS-BEAM-SIZE,"\C1;B1XX
(500x800)",-139.784015,-55.415208,0.000000
354,CMW-SS-BEAM-SIZE,\C1;B1XX(800x700),-67.922388,-58.869452,0.000000
355,CMW-SS-BEAM-SIZE,\C1;B1XX(800x700),-77.769633,-38.302411,0.000000
356,CMW-SS-BEAM-SIZE,\C1;B1XX(800x700),-62.967716,-35.502058,0.000000
357,CMW-SS-BEAM-SIZE,\C1;B1XX(750x800),-28.080655,-32.265932,0.000000
358,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x800),-95.740873,-7.109622,0.000000
359,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x800),-49.523084,-11.465506,0.000000
360,CMW-SS-BEAM-SIZE,\C1;B1XX(500x800),-117.230964,-57.470399,0.000000
361,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x800),-78.937912,-53.397713,0.000000
362,CMW-SS-BEAM-SIZE,\C1;B1XX(800x800),-134.680311,-30.174815,0.000000
363,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x800),-133.230329,-7.827979,0.000000
364,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x800),-106.502232,-40.897920,0.000000
365,CMW-SS-BEAM-SIZE,"\C1;B1XX
(1000x800)",-49.636430,10.936243,0.000000
366,CMW-SS-BEAM-SIZE,\C1;B1XX(800x800),-160.783657,-34.889027,0.000000
367,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x800),-113.097932,1.105784,0.000000
368,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x800),-146.531617,-3.768077,0.000000
369,CMW-SS-BEAM-SIZE,\C1;B1XX(1100x800),-177.704449,-18.240593,0.000000
370,CMW-SS-BEAM-SIZE,\C1;B1XX(500x800),-173.758603,-65.815305,0.000000
371,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x1000),-171.213211,-54.799720,0.000000
372,CMW-SS-BEAM-SIZE,\C1;B1XX(600x800),-162.379076,-13.727882,0.000000
373,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x800),-206.245057,-37.512615,0.000000
374,CMW-SS-BEAM-SIZE,\C1;B1XX(800x800),-189.092992,-43.468294,0.000000
375,CMW-SS-BEAM-SIZE,\C1;B1XX(450x800),-1.462400,-25.727592,0.000000
376,CMW-SS-BEAM-SIZE,\C1;B1XX(450x800),-1.083477,-64.158485,0.000000
377,CMW-SS-BEAM-SIZE,\C1;B1XX(450x1000),-13.877166,-88.292578,0.000000
378,CMW-SS-BEAM-SIZE,\C1;B1XX(450x1000),-39.818326,-94.323593,0.000000
379,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x800),-30.910652,-75.789447,0.000000
380,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x800),-52.947207,-85.941755,0.000000
381,CMW-SS-BEAM-SIZE,\C1;B1XX(450x1000),-188.515758,3.428122,0.000000
382,CMW-SS-BEAM-SIZE,\C1;B1XX(600x800),-211.674683,-10.038078,0.000000
383,CMW-SS-BEAM-SIZE,\C1;B1XX(800x800),-217.764553,-47.626199,0.000000
384,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x1250),-213.554162,-70.692846,0.000000
385,CMW-SS-BEAM-SIZE,\C1;B1XX(450x1000),-228.901910,-2.546660,0.000000
386,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x1000),-63.732515,-69.124146,0.000000
387,CMW-SS-BEAM-SIZE,\C1;B1XX(450x1500),-81.803577,-87.637965,0.000000
388,CMW-SS-BEAM-SIZE,\C1;B1XX(500x800),-15.948920,-65.113707,0.000000
389,CMW-SS-BEAM-SIZE,\C1;B1XX(500x800),-16.887491,-82.464074,0.000000
390,CMW-SS-BEAM-SIZE,\C1;B1XX(500x800),-84.378705,-62.112441,0.000000
391,CMW-SS-BEAM-SIZE,\C1;B1XX(500x800),-16.673526,-41.863051,0.000000
392,CMW-SS-BEAM-SIZE,\C1;B1XX(500x800),-17.644573,-50.149370,0.000000
393,CMW-SS-BEAM-SIZE,\C1;B1XX(800x1000),-3.600036,-2.637448,0.000000
394,CMW-SS-BEAM-SIZE,\C1;B1XX(450x800),-10.606905,13.002315,0.000000
395,CMW-SS-BEAM-SIZE,\C1;B1XX(800x800),-129.303313,-21.996437,0.000000
396,CMW-SS-BEAM-SIZE,\C1;B1XX(600x800),-125.377458,-43.904229,0.000000
397,CMW-SS-BEAM-SIZE,\C1;B1XX(600x800),-157.378042,-48.255108,0.000000
398,CMW-SS-BEAM-SIZE,\C1;B1XX(600x800),-87.710727,3.219708,0.000000
399,CMW-SS-BEAM-SIZE,\C1;B1XX(600x800),-137.612747,-3.542810,0.000000
400,CMW-SS-BEAM-SIZE,\C1;B1XX(600x800),-161.689286,-6.175407,0.000000
401,CMW-SS-BEAM-SIZE,\C1;B1XX(800x800),-161.725962,-26.764920,0.000000
402,CMW-SS-BEAM-SIZE,\C1;B1XX(800x800),-187.183108,-29.813111,0.000000
403,CMW-SS-BEAM-SIZE,\C1;B1XX(300x800),-187.465315,-21.207529,0.000000
404,CMW-SS-BEAM-SIZE,\C1;B1XX(600x800),-186.450786,-54.155504,0.000000
405,CMW-SS-BEAM-SIZE,"\C1;B1XX
(800x800)",-219.831055,-34.060281,0.000000
406,CMW-SS-BEAM-SIZE,"\C1;B1XX
(1000x800)",-221.538771,-23.482390,0.000000
407,CMW-SS-BEAM-SIZE,"\C1;B1XX
(800x800)",-224.514682,-14.757821,0.000000
408,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x800),-110.516301,-18.102766,0.000000
409,CMW-SS-BEAM-SIZE,"\C1;B1XX
(500x800)",-104.902426,-59.437386,0.000000
410,CMW-SS-BEAM-SIZE,\C1;B1XX(1000x800),-26.784384,-19.658536,0.000000
411,CMW-SS-BEAM-SIZE,\C1;B1XX(750x800),-29.205476,-11.683412,0.000000
412,CMW-SS-BEAM-SIZE,xt10;\C1;B1XX(750x800),-29.178171,7.410188,0.000000
413,CMW-SS-BEAM-SIZE,\C1;B1XX(500x800),-39.916566,-82.464074,0.000000
414,CMW-SS-BEAM-SIZE,\C1;B1XX(500x800),-62.287563,-82.464074,0.000000
415,CMW-SS-BEAM-SIZE,\C1;B1XX(1500x800),-23.197386,-5.041437,0.000000
416,0_INFO FOR COORDINATION ONLY,B1  FRAMING,-248.729685,53.244260,0.000000
